"a" wystepuje 5 razy, w liniach: 9 24 
"vitae" wystepuje 3 razy, w liniach: 3 15 

"Vivamus" wystepuje 4 razy, w liniach: 6 17 

"viverra" wystepuje 1 razy, w liniach: 16 

"volutpat" wystepuje 4 razy, w liniach: 4 14 

"vulputate" wystepuje 3 razy, w liniach: 25 27 

